"","Label","Value","Phase","Bounds","Status","SD","Prior"
"Size_DblN_descend_se_6_OR_REC(6)","Size_DblN_descend_se_6_OR_REC(6)","12",-5,"(-1, 30)","fixed","0","none"
"Size_DblN_start_logit_6_OR_REC(6)","Size_DblN_start_logit_6_OR_REC(6)","-999",-4,"(-1000, 9)","fixed","0","none"
"Size_DblN_end_logit_6_OR_REC(6)","Size_DblN_end_logit_6_OR_REC(6)","-999",-5,"(-1000, 9)","fixed","0","none"
"Size_DblN_peak_7_WA_REC(7)","Size_DblN_peak_7_WA_REC(7)","43.6",6,"(20, 60)","ok","3.2","none"
"Size_DblN_top_logit_7_WA_REC(7)","Size_DblN_top_logit_7_WA_REC(7)","-15",-5,"(-15, 4)","fixed","0","none"
"Size_DblN_ascend_se_7_WA_REC(7)","Size_DblN_ascend_se_7_WA_REC(7)","4.42",6,"(-1, 9)","ok","0.557","none"
"Size_DblN_descend_se_7_WA_REC(7)","Size_DblN_descend_se_7_WA_REC(7)","20",-5,"(-1, 30)","fixed","0","none"
"Size_DblN_start_logit_7_WA_REC(7)","Size_DblN_start_logit_7_WA_REC(7)","-999",-4,"(-1000, 9)","fixed","0","none"
"Size_DblN_end_logit_7_WA_REC(7)","Size_DblN_end_logit_7_WA_REC(7)","-999",-5,"(-1000, 9)","fixed","0","none"
"Size_DblN_peak_9_OR_RECOB(9)","Size_DblN_peak_9_OR_RECOB(9)","35.2",4,"(20, 60)","ok","1.69","none"
"Size_DblN_top_logit_9_OR_RECOB(9)","Size_DblN_top_logit_9_OR_RECOB(9)","-15",-5,"(-15, 4)","fixed","0","none"
"Size_DblN_ascend_se_9_OR_RECOB(9)","Size_DblN_ascend_se_9_OR_RECOB(9)","4.61",4,"(-1, 9)","ok","0.296","none"
"Size_DblN_descend_se_9_OR_RECOB(9)","Size_DblN_descend_se_9_OR_RECOB(9)","20",-5,"(-1, 30)","fixed","0","none"
"Size_DblN_start_logit_9_OR_RECOB(9)","Size_DblN_start_logit_9_OR_RECOB(9)","-999",-4,"(-1000, 9)","fixed","0","none"
"Size_DblN_end_logit_9_OR_RECOB(9)","Size_DblN_end_logit_9_OR_RECOB(9)","-999",-5,"(-1000, 9)","fixed","0","none"
"Size_DblN_peak_10_TRI_ORWA(10)","Size_DblN_peak_10_TRI_ORWA(10)","80",4,"(20, 80)","HI","0.914","none"
"Size_DblN_top_logit_10_TRI_ORWA(10)","Size_DblN_top_logit_10_TRI_ORWA(10)","-15",-5,"(-15, 4)","fixed","0","none"
"Size_DblN_ascend_se_10_TRI_ORWA(10)","Size_DblN_ascend_se_10_TRI_ORWA(10)","7.07",4,"(-1, 9)","ok","0.252","none"
"Size_DblN_descend_se_10_TRI_ORWA(10)","Size_DblN_descend_se_10_TRI_ORWA(10)","12",-5,"(-1, 30)","fixed","0","none"
"Size_DblN_start_logit_10_TRI_ORWA(10)","Size_DblN_start_logit_10_TRI_ORWA(10)","-999",-4,"(-1000, 9)","fixed","0","none"
"Size_DblN_end_logit_10_TRI_ORWA(10)","Size_DblN_end_logit_10_TRI_ORWA(10)","-999",-5,"(-1000, 9)","fixed","0","none"
"Size_DblN_peak_11_NWFSC_ORWA(11)","Size_DblN_peak_11_NWFSC_ORWA(11)","49.6",4,"(20, 60)","ok","5.97","none"
"Size_DblN_top_logit_11_NWFSC_ORWA(11)","Size_DblN_top_logit_11_NWFSC_ORWA(11)","-15",-5,"(-15, 4)","fixed","0","none"
"Size_DblN_ascend_se_11_NWFSC_ORWA(11)","Size_DblN_ascend_se_11_NWFSC_ORWA(11)","6.25",4,"(-1, 9)","ok","0.396","none"
"Size_DblN_descend_se_11_NWFSC_ORWA(11)","Size_DblN_descend_se_11_NWFSC_ORWA(11)","20",-5,"(-1, 30)","fixed","0","none"
"Size_DblN_start_logit_11_NWFSC_ORWA(11)","Size_DblN_start_logit_11_NWFSC_ORWA(11)","-999",-4,"(-1000, 9)","fixed","0","none"
"Size_DblN_end_logit_11_NWFSC_ORWA(11)","Size_DblN_end_logit_11_NWFSC_ORWA(11)","-999",-5,"(-1000, 9)","fixed","0","none"
"Size_DblN_peak_12_IPHC_ORWA(12)","Size_DblN_peak_12_IPHC_ORWA(12)","54.4",4,"(20, 60)","ok","1.81","none"
"Size_DblN_top_logit_12_IPHC_ORWA(12)","Size_DblN_top_logit_12_IPHC_ORWA(12)","-15",-5,"(-15, 4)","fixed","0","none"
"Size_DblN_ascend_se_12_IPHC_ORWA(12)","Size_DblN_ascend_se_12_IPHC_ORWA(12)","4.19",4,"(-1, 9)","ok","0.337","none"
"Size_DblN_descend_se_12_IPHC_ORWA(12)","Size_DblN_descend_se_12_IPHC_ORWA(12)","20",-5,"(-1, 30)","fixed","0","none"
"Size_DblN_start_logit_12_IPHC_ORWA(12)","Size_DblN_start_logit_12_IPHC_ORWA(12)","-999",-4,"(-1000, 9)","fixed","0","none"
"Size_DblN_end_logit_12_IPHC_ORWA(12)","Size_DblN_end_logit_12_IPHC_ORWA(12)","-999",-5,"(-1000, 9)","fixed","0","none"
